"ip_address","netmask"
"204.9.184.0","21"
"212.1.224.0","19"
"212.9.224.0","19"
"212.13.0.0","19"
"212.22.200.0","21"
"212.24.32.0","19"
"212.27.192.0","19"
"212.33.224.0","19"
"212.35.128.0","18"
"212.40.32.0","19"
"212.44.64.0","20"
"212.44.80.0","22"
"212.44.128.0","19"
"212.45.0.0","19"
"212.58.192.0","19"
"212.59.96.0","19"
"212.75.0.0","19"
"212.75.128.0","19"
"212.87.160.0","19"
"212.90.160.0","19"
"212.91.160.0","19"
"212.92.128.0","18"
"212.95.54.0","24"
"212.96.96.0","19"
"212.96.160.0","19"
"212.98.160.0","19"
"212.113.32.0","19"
"212.113.96.0","19"
"212.116.96.0","19"
"212.118.32.0","19"
"212.124.0.0","20"
"212.146.64.0","18"
"212.158.160.0","20"
"212.160.0.0","16"
"212.178.0.0","19"
"212.200.0.0","17"
"212.220.0.0","16"
"213.5.128.0","21"
"213.25.0.0","16"
"213.35.224.0","23"
"213.91.128.0","17"
"213.108.16.0","21"
"213.108.144.0","21"
"213.110.128.0","19"
"213.111.128.0","17"
"213.132.72.0","21"
"213.135.64.0","18"
"213.135.128.0","19"
"213.140.96.0","19"
"213.141.128.0","19"
"213.142.192.0","19"
"213.149.0.0","19"
"213.151.0.0","19"
"213.154.192.0","19"
"213.155.0.0","19"
"213.156.192.0","24"
"213.163.96.0","19"
"213.170.64.0","19"
"213.171.0.0","19"
"213.174.0.0","21"
"213.180.147.0","24"
"213.186.192.0","19"
"213.191.0.0","19"
"213.197.64.0","19"
"213.200.32.0","19"
"213.215.64.0","18"
"213.231.0.0","18"
"213.233.101.0","24"
"213.242.0.0","18"
"213.242.192.0","18"
"213.248.0.0","18"
"217.12.112.0","20"
"217.12.192.0","19"
"217.12.240.0","20"
"217.16.16.0","20"
"217.18.240.0","20"
"217.20.160.0","20"
"217.23.128.0","19"
"217.27.144.0","20"
"217.27.208.0","20"
"217.28.208.0","21"
"217.65.0.0","20"
"217.65.208.0","20"
"217.66.144.0","20"
"217.67.16.0","20"
"217.69.128.0","20"
"217.73.160.0","20"
"217.77.48.0","20"
"217.77.208.0","20"
"217.79.0.0","20"
"217.79.64.0","19"
"217.106.0.0","15"
"217.114.176.0","20"
"217.114.224.0","20"
"217.117.208.0","20"
"217.146.240.0","20"
"217.147.0.0","19"
"217.149.240.0","20"
"217.150.32.0","19"
"217.173.64.0","20"
"217.174.96.0","20"
"217.174.160.0","20"
"217.196.160.0","20"
"217.197.0.0","20"
"217.197.240.0","20"
"217.198.112.0","20"
